[2026-09-13T23:00:47.196Z] PUT https://tracking.utmify.com.br/tracking/v1/lead → 200 (23ms, 337B)
[2026-09-13T23:00:50.197Z] POST https://tracking.utmify.com.br/tracking/v1/events → pending (?ms, ?B)
[2026-09-13T23:01:11.833Z] GET https://ghostcli.dev/api/uptime → 200 (159ms, 4284B)
[2026-09-13T23:01:41.833Z] GET https://ghostcli.dev/api/uptime → 200 (164ms, 4284B)
[2026-09-13T23:02:11.835Z] GET https://ghostcli.dev/api/uptime → 200 (185ms, 4285B)
[2026-09-13T23:06:41.833Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:07:11.835Z] GET https://ghostcli.dev/api/uptime → 200 (189ms, 4283B)
[2026-09-13T23:07:41.829Z] GET https://ghostcli.dev/api/uptime → 200 (165ms, 4283B)
[2026-09-13T23:08:11.836Z] GET https://ghostcli.dev/api/uptime → 200 (183ms, 4284B)
[2026-09-13T23:08:41.825Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:09:11.827Z] GET https://ghostcli.dev/api/uptime → 200 (168ms, 4284B)
[2026-09-13T23:09:41.831Z] GET https://ghostcli.dev/api/uptime → 200 (156ms, 4284B)
[2026-09-13T23:10:11.825Z] GET https://ghostcli.dev/api/uptime → 200 (157ms, 4283B)
[2026-09-13T23:10:41.835Z] GET https://ghostcli.dev/api/uptime → 200 (208ms, 4283B)
[2026-09-13T23:11:11.831Z] GET https://ghostcli.dev/api/uptime → 200 (152ms, 4284B)
[2026-09-13T23:11:41.834Z] GET https://ghostcli.dev/api/uptime → 200 (159ms, 4284B)
[2026-09-13T23:12:11.823Z] GET https://ghostcli.dev/api/uptime → 200 (163ms, 4282B)
[2026-09-13T23:12:41.835Z] GET https://ghostcli.dev/api/uptime → 200 (160ms, 4282B)
[2026-09-13T23:13:11.837Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:13:41.828Z] GET https://ghostcli.dev/api/uptime → 200 (153ms, 4283B)
[2026-09-13T23:14:11.835Z] GET https://ghostcli.dev/api/uptime → 200 (163ms, 4283B)
[2026-09-13T23:14:41.830Z] GET https://ghostcli.dev/api/uptime → 200 (234ms, 4283B)
[2026-09-13T23:15:11.831Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:15:41.833Z] GET https://ghostcli.dev/api/uptime → 200 (173ms, 4270B)
[2026-09-13T23:16:11.833Z] GET https://ghostcli.dev/api/uptime → 200 (192ms, 4283B)
[2026-09-13T23:16:41.832Z] GET https://ghostcli.dev/api/uptime → 200 (271ms, 4283B)
[2026-09-13T23:17:11.823Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:17:41.834Z] GET https://ghostcli.dev/api/uptime → 200 (157ms, 4284B)
[2026-09-13T23:18:11.835Z] GET https://ghostcli.dev/api/uptime → 200 (156ms, 4281B)
[2026-09-13T23:18:41.827Z] GET https://ghostcli.dev/api/uptime → 200 (157ms, 4281B)
[2026-09-13T23:19:11.835Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:19:41.829Z] GET https://ghostcli.dev/api/uptime → 200 (173ms, 4282B)
[2026-09-13T23:20:11.839Z] GET https://ghostcli.dev/api/uptime → 200 (254ms, 4283B)
[2026-09-13T23:20:41.824Z] GET https://ghostcli.dev/api/uptime → 200 (153ms, 4283B)
[2026-09-13T23:21:12.288Z] GET https://ghostcli.dev/api/uptime → 200 (?ms, 4283B)
[2026-09-13T23:21:41.830Z] GET https://ghostcli.dev/api/uptime → 200 (166ms, 4283B)
[2026-09-13T23:22:11.824Z] GET https://ghostcli.dev/api/uptime → 200 (154ms, 4283B)
[2026-09-13T23:22:41.834Z] GET https://ghostcli.dev/api/uptime → 200 (163ms, 4283B)
[2026-09-13T23:23:11.823Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:23:41.829Z] GET https://ghostcli.dev/api/uptime → 200 (165ms, 4282B)
[2026-09-13T23:24:11.832Z] GET https://ghostcli.dev/api/uptime → 200 (157ms, 4283B)
[2026-09-13T23:24:41.834Z] GET https://ghostcli.dev/api/uptime → 200 (158ms, 4283B)
[2026-09-13T23:25:11.824Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:25:41.824Z] GET https://ghostcli.dev/api/uptime → 200 (158ms, 4284B)
[2026-09-13T23:26:11.825Z] GET https://ghostcli.dev/api/uptime → 200 (155ms, 4282B)
[2026-09-13T23:26:41.837Z] GET https://ghostcli.dev/api/uptime → 200 (151ms, 4282B)
[2026-09-13T23:27:11.837Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:27:41.836Z] GET https://ghostcli.dev/api/uptime → 200 (161ms, 4284B)
[2026-09-13T23:28:11.823Z] GET https://ghostcli.dev/api/uptime → 200 (169ms, 4284B)
[2026-09-13T23:28:41.827Z] GET https://ghostcli.dev/api/uptime → 200 (499ms, 4284B)
[2026-09-13T23:29:11.833Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:29:41.834Z] GET https://ghostcli.dev/api/uptime → 200 (224ms, 4283B)
[2026-09-13T23:30:11.825Z] GET https://ghostcli.dev/api/uptime → 200 (153ms, 4283B)
[2026-09-13T23:30:41.835Z] GET https://ghostcli.dev/api/uptime → 200 (190ms, 4283B)
[2026-09-13T23:31:11.826Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
